Datetime,Lon,Lat,Type
2014-04-13 21:11:00,-75.17754,39.993907,Homicide
2012-04-18 23:06:00,-75.244275,39.920516,Prostitution
2010-04-01 23:05:00,-75.14674,40.026085,Prostitution
2013-07-22 18:38:00,-75.135074,39.990233,Homicide
2013-06-11 22:12:00,-75.086381,40.013919,Liquor Law Violations
2007-08-15 22:17:00,-75.122562,39.99148,Prostitution
2011-03-02 22:06:00,-75.222889,39.968414,Prostitution
2011-06-14 20:55:00,-75.168078,39.906642,Liquor Law Violations
2007-04-13 23:10:00,-75.159929,39.959361,Prostitution
2012-06-08 23:23:00,-75.087588,40.01259,Prostitution
2012-06-13 19:35:00,-75.085552,40.017457,Liquor Law Violations
2009-12-15 16:16:00,-75.197019,39.934142,Homicide
2007-11-21 12:42:00,-75.083649,40.016743,Liquor Law Violations
2010-07-29 21:00:00,-75.159929,39.959361,Prostitution
2011-10-01 20:04:00,-75.238758,39.922409,Prostitution
2012-06-30 21:28:00,-75.083676,40.016863,Liquor Law Violations
2010-07-10 00:43:00,-75.112731,39.99111,Homicide
2014-09-12 21:51:00,-75.068568,39.999754,Liquor Law Violations
2015-05-20 10:41:00,-75.024561,40.043935,Prostitution
2015-05-20 23:23:00,-75.148328,40.015993,Prostitution
2010-11-18 09:31:00,-75.172626,39.98006,Homicide
2014-08-13 19:08:00,-75.14373,40.038889,Public Drunkenness
2014-05-06 13:23:00,-75.161866,39.950401,Public Drunkenness
2013-12-19 19:52:00,-75.104232,40.001497,Prostitution
2008-12-17 22:48:00,-75.101188,40.003265,Prostitution
2009-11-10 12:18:00,-75.108741,39.999085,Prostitution
2011-08-05 15:13:00,-75.148354,39.921632,Family Abuse
2015-01-22 16:27:00,-75.168216,39.954014,Public Drunkenness
2011-04-28 22:10:00,-75.237218,39.921637,Prostitution
2008-07-23 22:43:00,-75.120345,39.992646,Prostitution
2014-03-07 10:38:00,-75.118009,39.994007,Prostitution
2008-10-16 22:46:00,-75.088753,40.010998,Prostitution
2011-05-07 17:06:00,-75.15747,39.980981,Public Drunkenness
2016-10-17 11:01:00,-75.043252,40.026005,Prostitution
2014-05-28 20:57:00,-75.166569,39.907108,Liquor Law Violations
2014-02-07 22:02:00,-75.167254,39.951238,Public Drunkenness
2009-06-28 00:04:00,-75.124397,40.021525,Liquor Law Violations
2011-03-05 23:08:00,-75.056078,40.053139,Liquor Law Violations
2012-02-04 03:08:00,-75.147917,39.984772,Liquor Law Violations
2016-07-07 14:54:00,-75.159664,39.952945,Public Drunkenness
2013-02-09 03:24:00,-75.106432,40.032597,Liquor Law Violations
2010-01-15 22:35:00,-75.082135,40.021161,Prostitution
2008-10-31 22:40:00,-75.061853,40.016384,Prostitution
2016-04-04 08:34:00,-75.078182,40.022416,Liquor Law Violations
2009-11-17 19:30:00,-75.191535,39.92521,Homicide
2013-04-03 22:56:00,-75.111001,39.997854,Prostitution
2014-12-07 02:46:00,-75.143984,39.941605,Public Drunkenness
2008-08-27 22:29:00,-75.223324,39.968295,Prostitution
2010-03-25 22:36:00,-75.152183,39.987449,Prostitution
2010-06-03 22:56:00,-75.128524,39.988128,Prostitution
2014-03-10 10:45:00,-75.154601,39.920385,Family Abuse
2009-11-20 22:22:00,-75.170863,39.996016,Homicide
2009-03-28 22:00:00,-75.060651,40.016997,Liquor Law Violations
2008-06-27 08:57:00,-75.227697,39.955493,Family Abuse
2010-04-16 20:33:00,-75.145681,39.950187,Public Drunkenness
2014-03-12 23:15:00,-75.139046,39.988734,Public Drunkenness
2008-03-01 01:31:00,-75.143907,39.941939,Liquor Law Violations
2015-06-05 22:34:00,-75.223143,39.969712,Prostitution
2009-08-28 22:25:00,-75.046529,40.024314,Liquor Law Violations
2010-06-29 23:02:00,-75.215967,39.970632,Prostitution
2008-01-31 23:48:00,-75.219179,39.959297,Family Abuse
2008-07-15 22:24:00,-75.149878,40.015337,Prostitution
2014-07-24 10:21:00,-75.111554,39.99741,Prostitution
2009-12-30 23:04:00,-75.096881,40.005517,Prostitution
2015-10-28 14:04:00,-75.158137,39.952729,Public Drunkenness
2006-07-08 06:10:00,-75.22989,39.93216,Homicide
2014-10-28 23:56:00,-75.147218,40.018186,Prostitution
2008-08-15 21:54:00,-75.156596,40.007493,Homicide
2008-10-22 20:19:00,-75.0835,40.016909,Liquor Law Violations
2008-06-16 22:22:00,-75.120263,39.99729,Homicide
2011-04-22 23:02:00,-75.17259,40.028042,Prostitution
2008-09-20 04:17:00,-75.067082,40.041262,Liquor Law Violations
2014-09-12 21:49:00,-75.068568,39.999754,Liquor Law Violations
2011-10-18 12:02:00,-75.128524,39.988128,Prostitution
2014-03-30 02:53:00,-75.146234,40.028309,Homicide
2014-10-28 23:37:00,-75.148878,40.002742,Prostitution
2015-08-31 17:49:00,-75.194674,39.934793,Homicide
2014-10-18 23:46:00,-75.157943,40.050396,Prostitution
2008-08-02 22:43:00,-75.15214,39.941958,Liquor Law Violations
2016-03-25 20:17:00,-74.96765,40.102754,Liquor Law Violations
2012-10-28 01:05:00,-75.171996,39.939324,Liquor Law Violations
2007-03-30 20:26:00,-75.150464,39.919355,Liquor Law Violations
2009-05-19 12:45:00,-75.12662,39.995768,Homicide
2007-04-02 20:01:00,-75.143575,39.986337,Family Abuse
2008-12-19 23:07:00,-75.05931,40.017687,Prostitution
2016-03-04 14:05:00,-75.079115,40.021197,Prostitution
2007-08-19 01:32:00,-75.247775,39.885552,Liquor Law Violations
2010-06-18 10:15:00,-75.147235,40.014044,Prostitution
2013-04-04 16:54:00,-75.028784,40.080285,Prostitution
2014-10-31 18:18:00,-75.226698,39.968003,Public Drunkenness
2006-04-11 12:44:00,-75.083071,40.020264,Family Abuse
2011-09-30 23:11:00,-75.173193,39.916431,Liquor Law Violations
2008-07-19 22:45:00,-75.106447,40.000383,Prostitution
2013-05-08 15:53:00,-75.177684,40.071798,Family Abuse
2011-11-25 22:03:00,-75.176492,40.034044,Prostitution
2008-09-24 23:10:00,-75.202652,39.965135,Prostitution
2012-07-18 23:34:00,-75.125492,39.989889,Prostitution
2007-04-30 15:42:00,-75.14598,39.949079,Prostitution
2008-01-12 01:50:00,-75.219336,40.023,Public Drunkenness
2013-06-05 22:03:00,-75.174718,39.982319,Public Drunkenness
2009-04-25 02:32:00,-75.143933,39.948816,Public Drunkenness
2014-05-02 20:36:00,-75.248726,39.88446,Prostitution
2007-11-24 00:03:00,-75.222786,40.02484,Public Drunkenness
2012-10-20 23:40:00,-75.129642,39.987608,Prostitution
2012-10-04 23:13:00,-75.158674,40.021327,Prostitution
2013-05-03 23:35:00,-75.043653,40.026561,Prostitution
2011-12-16 21:51:00,-75.237147,39.961564,Public Drunkenness
2014-09-12 22:37:00,-75.148171,40.010534,Prostitution
2015-01-07 21:17:00,-75.115786,39.995225,Prostitution
2006-05-27 21:46:00,-75.168078,39.906642,Liquor Law Violations
2013-01-04 23:07:00,-75.098623,39.995157,Liquor Law Violations
2013-06-21 19:34:00,-75.096881,40.005517,Prostitution
2014-07-10 22:06:00,-75.222874,39.968412,Prostitution
2015-06-04 19:22:00,-75.149297,39.929718,Homicide
2011-03-16 23:19:00,-75.160572,39.948851,Public Drunkenness
2007-03-29 01:19:00,-75.086088,40.01685,Homicide
2013-05-18 15:53:00,-75.179651,39.937352,Family Abuse
2006-10-13 21:44:00,-75.172766,39.911851,Liquor Law Violations
2013-02-14 23:32:00,-75.222889,39.968414,Prostitution
2007-01-11 16:26:00,-75.244143,39.955728,Family Abuse
2011-02-25 18:52:00,-75.143613,40.044396,Family Abuse
2012-07-31 14:36:00,-75.035461,40.037451,Liquor Law Violations
2006-06-01 02:02:00,-75.245832,39.967282,Prostitution
2006-10-02 16:35:00,-75.229206,39.931085,Homicide
2012-02-21 23:20:00,-75.149183,40.001071,Prostitution
2013-10-16 14:20:00,-75.12251,40.040667,Homicide
2014-02-13 17:15:00,-75.089794,40.045429,Homicide
2014-10-16 11:43:00,-75.160322,39.920322,Prostitution
2011-02-12 23:44:00,-75.161905,39.920804,Liquor Law Violations
2015-11-25 19:59:00,-75.148786,39.958472,Liquor Law Violations
2013-08-16 05:41:00,-75.233359,39.948195,Homicide
2016-07-27 18:51:00,-75.222889,39.968414,Prostitution
2009-09-04 16:33:00,-75.221335,40.003585,Family Abuse
2010-05-08 20:48:00,-75.084831,40.074033,Liquor Law Violations
2012-06-19 20:17:00,-75.168078,39.906642,Liquor Law Violations
2007-05-21 18:54:00,-75.169312,39.971009,Public Drunkenness
2015-08-28 22:51:00,-75.16852,39.929237,Prostitution
2008-12-29 03:15:00,-75.162432,39.945202,Public Drunkenness
2010-05-19 22:07:00,-75.184936,39.975795,Public Drunkenness
2007-05-25 23:31:00,-75.083455,40.065491,Liquor Law Violations
2014-12-08 23:27:00,-75.15972,39.952909,Public Drunkenness
2014-08-15 10:33:00,-75.105373,40.000894,Prostitution
2015-06-10 10:17:00,-75.158752,39.920373,Prostitution
2009-12-31 13:40:00,-75.180547,39.988276,Homicide
2016-04-28 13:42:00,-75.178538,39.982929,Gambling
2012-01-12 22:56:00,-75.129642,39.987608,Prostitution
2010-02-12 15:42:00,-75.172232,39.997035,Gambling
2007-04-11 22:44:00,-75.151213,39.991898,Prostitution
2016-06-03 22:01:00,-75.060651,40.016997,Prostitution
2008-03-16 03:32:00,-75.248948,39.973328,Homicide
2010-12-31 00:29:00,-75.125492,39.989889,Prostitution
2010-05-02 18:46:00,-75.176681,39.927405,Homicide
2007-02-06 22:03:00,-75.157936,39.986463,Prostitution
2008-04-09 22:02:00,-75.175395,39.982721,Prostitution
2013-01-22 23:36:00,-75.087588,40.01259,Prostitution
2011-03-06 20:53:00,-75.19253,39.958048,Public Drunkenness
2007-03-07 22:35:00,-75.141119,40.011073,Prostitution
2010-05-25 21:58:00,-75.202652,39.965135,Prostitution
2016-03-29 11:24:00,-75.122562,39.99148,Prostitution
2007-12-05 21:45:00,-75.147239,40.016659,Prostitution
2007-08-23 21:00:00,-75.215826,40.034091,Public Drunkenness
2011-10-20 22:44:00,-75.158073,40.048145,Prostitution
2010-11-27 01:31:00,-75.128524,39.988128,Prostitution
2015-11-03 16:00:00,-75.231759,39.923346,Public Drunkenness
2013-06-14 10:17:00,-75.173634,39.95166,Public Drunkenness
2006-07-12 12:21:00,-75.037735,40.073704,Homicide
2011-12-30 22:33:00,-75.063417,40.015482,Prostitution
2012-12-08 21:33:00,-75.172567,39.980591,Public Drunkenness
2011-10-24 14:11:00,-75.173125,39.997232,Homicide
2007-07-20 22:15:00,-75.080219,40.020602,Liquor Law Violations
2008-08-28 20:48:00,-74.998571,40.059548,Liquor Law Violations
2013-09-21 20:05:00,-75.108132,39.98546,Liquor Law Violations
2008-01-11 21:25:00,-75.158742,40.032316,Public Drunkenness
2008-09-02 02:31:00,-75.139216,39.996347,Homicide
2006-01-12 01:19:00,-75.168961,39.935973,Prostitution
2012-10-19 09:14:00,-75.23859,39.976066,Public Drunkenness
2011-06-11 01:26:00,-75.144591,39.981666,Homicide
2009-11-12 22:40:00,-75.101188,40.003265,Prostitution
2010-03-23 22:54:00,-75.238185,39.924805,Prostitution
2015-03-13 22:52:00,-75.148874,39.958053,Liquor Law Violations
2012-02-21 11:32:00,-75.108261,40.007404,Homicide
2010-02-18 23:20:00,-75.147303,40.011954,Prostitution
2016-05-24 09:55:00,-75.044711,40.025246,Prostitution
2016-08-30 17:17:00,-75.201907,39.957129,Public Drunkenness
2009-05-13 22:17:00,-75.108741,39.999085,Prostitution
2008-07-09 14:49:00,-75.176598,40.034107,Public Drunkenness
2008-02-23 22:38:00,-75.212999,39.969706,Prostitution
2013-01-26 22:02:00,-75.05931,40.017687,Prostitution
2012-09-21 00:08:00,-75.147379,40.010431,Prostitution
2009-06-13 02:59:00,-75.044711,40.025246,Prostitution
2012-02-14 23:43:00,-75.168487,39.930445,Prostitution
2015-01-08 04:02:00,-75.086381,40.013919,Prostitution
2013-02-05 10:18:00,-75.097675,40.003754,Prostitution
2015-03-21 21:16:00,-75.223143,39.969712,Prostitution
2011-04-17 04:43:00,-75.043438,40.115878,Public Drunkenness
2006-04-14 20:08:00,-75.149044,40.007382,Gambling
2012-06-07 11:12:00,-75.027073,40.038713,Liquor Law Violations
2016-01-11 17:43:00,-75.149077,40.04831,Family Abuse
2009-09-06 03:08:00,-75.154789,39.986952,Liquor Law Violations
2008-03-10 01:28:00,-75.172673,39.978422,Homicide
2009-03-14 20:45:00,-75.147285,40.014117,Prostitution
2012-03-14 05:31:00,-75.131682,40.035573,Homicide
2007-06-22 00:30:00,-75.184974,39.975393,Public Drunkenness
2006-10-19 01:05:00,-75.236117,39.942339,Prostitution
2011-03-06 23:44:00,-75.143305,39.951944,Public Drunkenness
2014-06-17 22:00:00,-75.222874,39.968412,Prostitution
2006-09-09 02:19:00,-75.1557,39.984583,Liquor Law Violations
2008-09-24 23:11:00,-75.207624,39.966375,Prostitution
2009-11-14 00:35:00,-75.220353,39.938702,Homicide
2009-12-23 12:56:00,-75.103724,40.001854,Prostitution
2008-03-18 23:45:00,-75.081259,40.019479,Liquor Law Violations
2007-02-28 22:12:00,-75.233643,39.940253,Prostitution
2009-07-21 12:39:00,-75.101188,40.003265,Prostitution
2006-11-10 01:50:00,-75.243379,39.919152,Prostitution
2013-05-30 20:01:00,-75.108776,39.999071,Prostitution
2011-03-02 10:00:00,-75.147285,40.014117,Prostitution
2011-07-08 23:25:00,-75.125492,39.989889,Prostitution
2014-04-09 22:17:00,-75.128751,39.986585,Prostitution
2010-04-23 20:07:00,-75.157797,39.961703,Prostitution
2009-10-23 23:05:00,-75.162174,39.949084,Prostitution
2010-12-28 21:20:00,-75.166591,39.904459,Public Drunkenness
2006-05-07 22:09:00,-75.168078,39.906642,Liquor Law Violations
2009-08-18 22:27:00,-75.141171,40.015792,Prostitution
2009-01-21 22:22:00,-75.202431,39.963007,Prostitution
2011-01-30 21:28:00,-75.171268,39.965103,Public Drunkenness
2008-05-05 20:29:00,-75.150999,39.937092,Liquor Law Violations
2011-01-08 21:37:00,-75.120326,39.992726,Prostitution
2009-07-22 01:00:00,-75.178561,39.982882,Public Drunkenness
2011-01-30 04:31:00,-75.179562,40.031057,Homicide
2013-01-16 15:10:00,-75.045726,40.034277,Prostitution
2016-10-17 20:51:00,-75.159444,39.971476,Public Drunkenness
2007-08-23 22:17:00,-75.127384,39.988844,Prostitution
2006-01-21 18:38:00,-75.111166,40.035626,Family Abuse
2008-06-07 21:39:00,-75.106447,40.000383,Prostitution
2013-06-05 13:00:00,-75.15933,39.949476,Prostitution
2006-02-09 17:51:00,-75.148417,40.012024,Prostitution
2013-10-05 20:11:00,-75.096881,40.005517,Prostitution
2009-10-30 12:16:00,-75.108741,39.999085,Prostitution
2008-07-16 19:17:00,-75.07934,40.021406,Liquor Law Violations
2010-04-10 23:09:00,-75.225345,40.028688,Public Drunkenness
2012-11-14 23:15:00,-75.223143,39.969712,Prostitution
2014-10-28 11:36:00,-75.128524,39.988128,Prostitution
2014-03-08 23:42:00,-75.217187,39.970317,Prostitution
2013-09-28 19:45:00,-75.138097,39.96038,Liquor Law Violations
2014-06-05 21:55:00,-75.104186,40.001575,Prostitution
2013-08-19 07:22:00,-75.023442,40.105307,Homicide
2013-02-23 02:51:00,-75.052617,40.026418,Family Abuse
2008-12-14 02:10:00,-75.233155,39.924529,Homicide
2009-01-18 01:01:00,-75.207267,39.964908,Homicide
2014-12-05 03:32:00,-75.160636,39.948699,Prostitution
2007-12-21 22:31:00,-75.157922,39.961176,Prostitution
2013-02-09 23:33:00,-75.108732,39.998969,Prostitution
2007-04-05 13:14:00,-75.11337,39.996571,Prostitution
2010-11-16 22:27:00,-75.127384,39.988844,Prostitution
2006-02-25 01:32:00,-75.159929,39.959361,Prostitution
2006-05-17 16:36:00,-75.159539,39.95028,Gambling
2013-10-12 04:08:00,-75.147185,40.019989,Prostitution
2007-06-01 21:35:00,-75.160636,39.948699,Prostitution
2013-01-03 10:34:00,-75.120326,39.992726,Prostitution
2014-09-14 02:46:00,-75.194513,39.954646,Public Drunkenness
2011-06-15 16:04:00,-75.084672,40.014375,Liquor Law Violations
2009-05-28 23:01:00,-75.122562,39.99148,Prostitution
2007-02-05 09:10:00,-75.115845,40.035823,Family Abuse
2006-07-26 17:08:00,-75.228026,39.963525,Gambling
2012-10-30 21:07:00,-75.227091,39.981189,Homicide
2007-09-21 23:16:00,-75.175894,39.918735,Liquor Law Violations
2006-02-10 20:12:00,-75.241267,39.922565,Liquor Law Violations
2015-06-04 09:38:00,-75.119031,39.983307,Public Drunkenness
2010-07-15 22:04:00,-75.009376,40.062604,Liquor Law Violations
2013-11-27 10:32:00,-75.128524,39.988128,Prostitution
2015-09-16 10:52:00,-75.139304,39.969429,Public Drunkenness
2008-09-04 00:12:00,-75.151842,39.988856,Prostitution
2015-06-05 23:50:00,-75.223143,39.969712,Prostitution
2012-05-19 23:54:00,-75.179613,39.992426,Prostitution
2015-07-31 21:48:00,-75.003973,40.103492,Prostitution
2016-09-26 19:49:00,-75.167748,40.059799,Homicide
2011-05-14 19:59:00,-75.090984,40.01954,Family Abuse
2007-01-05 22:31:00,-75.164169,40.042993,Homicide
2012-08-01 12:29:00,-75.08554,40.014849,Liquor Law Violations
2016-10-07 21:52:00,-75.108741,39.999085,Prostitution
2012-08-03 23:54:00,-75.171149,39.979586,Prostitution
2015-11-01 01:35:00,-75.130743,40.00148,Family Abuse
2006-09-05 01:23:00,-75.082984,40.008887,Prostitution
2012-07-27 09:53:00,-75.120345,39.992646,Prostitution
2015-07-22 17:35:00,-75.08554,40.014849,Liquor Law Violations
2011-08-09 14:14:00,-75.156544,39.952622,Public Drunkenness
2016-08-30 14:09:00,-75.106469,40.000267,Prostitution
2010-11-21 00:51:00,-75.129642,39.987608,Prostitution
2007-08-25 20:22:00,-75.16263,39.946723,Liquor Law Violations
2008-01-08 22:26:00,-75.104232,40.001497,Prostitution
2010-05-01 16:36:00,-75.096225,40.048905,Liquor Law Violations
2016-02-21 02:44:00,-75.23686,39.925815,Homicide
2012-02-17 23:04:00,-75.167814,39.992802,Liquor Law Violations
2011-09-03 22:39:00,-75.131079,39.98537,Prostitution
2012-04-17 23:20:00,-75.222889,39.968414,Prostitution
2010-06-19 23:12:00,-75.147285,40.014117,Prostitution
2014-07-22 20:54:00,-75.032126,40.072378,Liquor Law Violations
2007-02-21 22:17:00,-75.187328,39.987149,Prostitution
2013-05-17 12:53:00,-75.104232,40.001497,Prostitution
2011-02-16 22:52:00,-75.147285,40.014117,Prostitution
2010-08-19 18:10:00,-75.087042,40.017239,Family Abuse
2011-05-03 20:18:00,-75.168078,39.906642,Liquor Law Violations
2006-09-20 01:18:00,-75.229585,39.975472,Prostitution
2010-08-14 00:55:00,-75.106111,40.032305,Liquor Law Violations
2013-12-15 15:56:00,-75.10874,39.99705,Homicide
2010-06-17 22:48:00,-75.067776,40.047454,Liquor Law Violations
2014-08-28 12:35:00,-75.127368,39.988833,Prostitution
2010-05-21 10:25:00,-75.058423,40.022713,Family Abuse
2012-05-29 23:06:00,-75.158752,39.920373,Prostitution
2006-04-07 22:50:00,-75.240148,39.964631,Homicide
2009-06-23 23:08:00,-75.162174,39.949084,Prostitution
2008-05-03 23:14:00,-75.153734,39.942235,Liquor Law Violations
2016-08-07 00:15:00,-75.230092,39.964278,Homicide
2013-01-08 23:26:00,-75.240052,39.921496,Prostitution
2006-06-20 11:37:00,-75.229306,39.894728,Family Abuse
2011-05-03 19:17:00,-75.168078,39.906642,Liquor Law Violations
2010-06-10 01:04:00,-75.175613,39.92259,Homicide
2010-12-31 21:30:00,-75.152177,39.942998,Liquor Law Violations
2016-04-03 22:35:00,-74.992929,40.070797,Homicide
2014-09-26 23:58:00,-75.163653,39.98255,Liquor Law Violations
2006-09-12 01:19:00,-75.159722,39.970256,Prostitution
2016-06-18 14:56:00,-75.253542,39.978695,Homicide
2006-04-12 02:26:00,-75.122057,39.990907,Prostitution
2013-12-07 20:31:00,-75.144957,40.056873,Homicide
2013-07-30 22:15:00,-75.105461,40.000839,Prostitution
2006-09-20 18:46:00,-75.062749,40.029419,Liquor Law Violations
2008-07-12 09:58:00,-75.206471,40.024328,Public Drunkenness
2011-11-26 19:46:00,-75.200188,39.961947,Prostitution
2015-01-31 14:45:00,-75.168272,39.953979,Public Drunkenness
2007-05-04 23:34:00,-75.22698,39.975682,Prostitution
2006-08-09 01:02:00,-75.103724,40.001854,Prostitution
2013-05-03 23:35:00,-75.043653,40.026561,Prostitution
2013-03-13 21:44:00,-75.163231,39.949048,Prostitution
2009-04-07 23:08:00,-75.111001,39.997854,Prostitution
2013-02-02 04:45:00,-75.221234,39.948234,Liquor Law Violations
2016-07-12 10:06:00,-75.126452,39.989257,Prostitution
2010-10-10 00:18:00,-75.152336,39.942024,Liquor Law Violations
2016-06-26 18:19:00,-75.218879,39.940493,Homicide
2010-12-14 11:49:00,-75.032477,40.07205,Prostitution
2006-01-26 10:54:00,-75.11337,39.996571,Prostitution
2016-02-20 22:42:00,-75.222889,39.968414,Prostitution
2008-10-16 23:17:00,-75.226812,39.977246,Homicide
2006-04-19 20:20:00,-75.168078,39.906642,Liquor Law Violations
2015-08-07 21:43:00,-75.108741,39.999085,Prostitution
2008-01-26 12:24:00,-75.07706,40.011381,Liquor Law Violations
2012-06-10 06:02:00,-75.229411,40.03985,Homicide
2009-04-26 20:24:00,-75.158529,39.97586,Homicide
2007-07-18 22:34:00,-75.147235,40.014044,Prostitution
2013-02-27 23:19:00,-75.242661,39.95896,Homicide
2009-12-30 23:04:00,-75.122562,39.99148,Prostitution
2011-07-20 20:07:00,-75.232921,39.936723,Public Drunkenness
2010-11-10 22:52:00,-75.129642,39.987608,Prostitution
2010-06-30 23:07:00,-75.024348,40.048914,Liquor Law Violations
2016-02-05 11:44:00,-75.108741,39.999085,Prostitution
2009-06-11 01:00:00,-75.131208,40.019586,Homicide
2013-09-19 20:03:00,-75.096642,40.00575,Prostitution
2006-01-20 01:21:00,-75.15344,39.989133,Prostitution
2012-07-19 23:26:00,-75.209806,39.967733,Prostitution
2007-11-14 15:11:00,-75.167007,39.965273,Prostitution
2007-05-31 22:39:00,-75.144725,40.014096,Prostitution
2015-02-05 03:37:00,-75.223324,39.968295,Prostitution
2008-12-15 22:01:00,-75.166591,39.904459,Public Drunkenness
2006-10-17 01:02:00,-75.104232,40.001497,Prostitution
2015-10-31 21:22:00,-75.159075,40.046944,Homicide
2015-03-13 18:54:00,-75.156505,39.952574,Public Drunkenness
2011-09-02 10:50:00,-75.096881,40.005517,Prostitution
2007-05-23 22:33:00,-75.106469,40.000267,Prostitution
2010-09-28 22:31:00,-75.104232,40.001497,Prostitution
2014-04-17 13:41:00,-75.037691,40.028759,Prostitution
2009-02-06 21:14:00,-75.073217,40.025448,Liquor Law Violations
2006-03-28 01:03:00,-75.161091,39.94649,Prostitution
2015-09-20 18:43:00,-75.16393,39.953509,Public Drunkenness
2016-09-27 10:32:00,-75.127384,39.988844,Prostitution
2011-02-27 02:47:00,-75.13955,39.995127,Homicide
2008-05-28 21:29:00,-75.028987,40.048701,Liquor Law Violations
2009-06-25 22:14:00,-75.127416,39.988827,Prostitution
2008-06-18 22:55:00,-75.077259,40.016849,Prostitution
2008-10-31 21:46:00,-75.080041,40.07132,Liquor Law Violations
2011-04-07 15:25:00,-75.245622,39.955203,Homicide
2014-12-26 11:58:00,-75.078182,40.022416,Public Drunkenness
2011-06-17 22:24:00,-75.238405,39.922646,Prostitution
2011-05-21 20:19:00,-75.2392,39.922215,Public Drunkenness
2011-01-29 20:45:00,-75.11337,39.996571,Prostitution
